Today's	today	Today's
schedule	schedul	schedule
.	.	.

College	colleg	College
basketball	basketbal	basketball
:	:	:
MEN	men	MEN
Detroit	detroit	Detroit
at	at	at
Northeastern,	northeastern,	Northeastern,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
UNH	unh	UNH
at	at	at
Brown,	brown,	Brown,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
Stony	stoni	Stony
Brook	brook	Brook
at	at	at
URI,	uri,	URI,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
UMass	umass	UMass
-	-	-
Lowell	lowel	Lowell
at	at	at
AIC,	aic,	AIC,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
Mt.	mt.	Mt.
Ida	ida	Ida
at	at	at
Bridgewater	bridgewat	Bridgewater
St.	st.	St.
,	,	,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
Dowling	dowl	Dowling
at	at	at
Southern	southern	Southern
Conn	conn	Conn
.	.	.
,	,	,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
Tufts	tuft	Tufts
at	at	at
Suffolk,	suffolk,	Suffolk,
7:30 p.m.	7:30 p.m.	7:30 p.m.
;	;	;
St.	st.	St.
Rose	rose	Rose
at	at	at
Franklin	franklin	Franklin
Pierce,	pierce,	Pierce,
7:30 p.m.	7:30 p.m.	7:30 p.m.
;	;	;
Southern	southern	Southern
Maine	main	Maine
at	at	at
Colby,	colby,	Colby,
7:30 p.m.	7:30 p.m.	7:30 p.m.
;	;	;
WOMEN	women	WOMEN
UMass	umass	UMass
-	-	-
Lowell	lowel	Lowell
at	at	at
...	...	...

