No	no	No
approach	approach	approach
from	from	from
Real	real	Real
-	-	-
Eriksson	eriksson	Eriksson
.	.	.

Sven	sven	Sven
-	-	-
Goran	goran	Goran
Eriksson	eriksson	Eriksson
insisted	insist	insisted
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
he	he	he
had	had	had
not	not	not
been	been	been
approached	approach	approached
by	by	by
Real	real	Real
Madrid	madrid	Madrid
to	to	to
take	take	take
over	over	over
as	as	a
their	their	their
new	new	new
coach	coach	coach
.	.	.

Sven	sven	Sven
-	-	-
Goran	goran	Goran
Eriksson	eriksson	Eriksson
insisted	insist	insisted
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
he	he	he
had	had	had
not	not	not
been	been	been
approached	approach	approached
by	by	by
Real	real	Real
Madrid	madrid	Madrid
to	to	to
take	take	take
over	over	over
as	as	a
their	their	their
new	new	new
coach	coach	coach
.	.	.

