*****	*****	*****
WNBA	wnba	WNBA
Playoff	playoff	Playoff
Game	game	Game
Capsules	capsul	Capsules
-	-	-
Friday,	friday,	Friday,
 October 1	 october 1	 October 1
st	st	st
*****	*****	*****
.	.	.

Final	final	Final
Score	score	Score
:	:	:
Connecticut	connecticut	Connecticut
61	61	61
,	,	,
New	new	New
York	york	York
51 	51 	51 
New	new	New
York,	york,	York,
NY	ny	NY
(Sports	(sport	(Sports
Network)	network)	Network)
-	-	-
Nykesha	nykesha	Nykesha
Sales	sale	Sales
scored	score	scored
15 	15 	15 
points	point	point
to	to	to
lead	lead	lead
Connecticut	connecticut	Connecticut
to	to	to
a	a	a
61	61	61
-	-	-
51 	51 	51 
win	win	win
over	over	over
New	new	New
York	york	York
in	in	in
Game	game	Game
1	1	1
of	of	of
their	their	their
best	best	best
-	-	-
of	of	of
-	-	-
three	three	three
Eastern	eastern	Eastern
Conference	confer	Conference
Finals	final	Finals
series	seri	series
at	at	at
Madison	madison	Madison
Square	squar	Square
Garden	garden	Garden
.	.	.

