services	servic	service
will	will	will
make	make	make
cash	cash	cash
flow,	flow,	flow,
says	say	say
Vodafone	vodafon	Vodafone
.	.	.

Vodafone,	vodafone,	Vodafone,
the	the	the
world	world	world
#39	#39	#39
;	;	;
s	s	s
largest	largest	largest
mobile	mobil	mobile
phone	phone	phone
company,	company,	company,
believes	believ	belief
it	it	it
can	can	can
generate	generat	generate
an	an	an
extra	extra	extra
2	2	2
.	.	.
5	5	5
billion	billion	billion
in	in	in
cash	cash	cash
every	everi	every
year	year	year
by	by	by
reducing	reduc	reducing
costs	cost	cost
and	and	and
getting	get	getting
customers	custom	customer
to	to	to
spend	spend	spend
more	more	more
on	on	on
their	their	their
phones	phone	phone
.	.	.

